                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.54679,                0.40353,                0.87076,                0.73184,                0.63144,                0.68507,                0.42043,                 1.2048,                 0.9713,                 1.2106,             0.00049016,             0.00049016,             0.00049016
                     98,                0.53361,                0.39685,                0.86308,                0.66148,                0.62254,                0.65362,                0.40621,                 1.2059,                0.97954,                  1.204,              0.0004878,              0.0004878,              0.0004878
                     99,                0.54131,                0.39812,                0.86352,                0.83968,                0.62778,                0.68749,                0.45049,                 1.1926,                0.99913,                 1.1982,             0.00048545,             0.00048545,             0.00048545
                    100,                0.52278,                0.38436,                0.86255,                0.76339,                0.61886,                0.70181,                0.46629,                 1.1942,                 1.0563,                 1.2082,             0.00048309,             0.00048309,             0.00048309
                    101,                0.53313,                0.39239,                0.86012,                0.80879,                0.61954,                0.70344,                0.44036,                 1.2022,                 1.0357,                 1.2135,             0.00048074,             0.00048074,             0.00048074
                    102,                0.51776,                0.37529,                0.85385,                0.84089,                0.59884,                0.72222,                 0.4669,                 1.2215,                0.99137,                 1.2147,             0.00047838,             0.00047838,             0.00047838
                    103,                0.52679,                0.38258,                0.86107,                0.78952,                0.58615,                 0.7017,                0.46682,                 1.1826,                0.97156,                 1.1817,             0.00047602,             0.00047602,             0.00047602
                    104,                0.51303,                0.37834,                0.84979,                0.75406,                0.66187,                0.69113,                0.46391,                 1.2083,                0.98624,                 1.1908,             0.00047367,             0.00047367,             0.00047367
                    105,                0.52655,                0.38331,                0.86133,                0.82066,                0.59315,                0.69303,                0.47738,                  1.201,                0.96999,                 1.1921,             0.00047131,             0.00047131,             0.00047131
                    106,                0.51162,                0.37342,                0.85594,                0.74637,                0.63497,                0.67917,                 0.4284,                 1.2096,                 1.0049,                  1.204,             0.00046896,             0.00046896,             0.00046896
                    107,                0.51438,                 0.3791,                0.85788,                0.73016,                0.65193,                0.69371,                0.44519,                 1.2111,                 1.0095,                 1.1965,              0.0004666,              0.0004666,              0.0004666
                    108,                0.50708,                0.37534,                0.85441,                0.85672,                0.61358,                0.70408,                0.43442,                 1.2222,                 1.0169,                 1.2034,             0.00046424,             0.00046424,             0.00046424
                    109,                0.51719,                0.37307,                0.85584,                0.77248,                0.63709,                0.69335,                0.44432,                  1.207,                0.98403,                 1.1687,             0.00046189,             0.00046189,             0.00046189
                    110,                  0.508,                 0.3753,                0.85439,                0.74907,                 0.5808,                0.65316,                0.41677,                  1.203,                 1.0001,                 1.2024,             0.00045953,             0.00045953,             0.00045953
                    111,                0.50773,                0.37326,                0.85821,                0.77196,                0.58698,                0.66528,                0.42346,                 1.1882,                0.98251,                 1.1935,             0.00045717,             0.00045717,             0.00045717
                    112,                0.50181,                0.36713,                0.86023,                0.72199,                0.66758,                0.70515,                 0.4666,                 1.2023,                0.95538,                 1.2018,             0.00045482,             0.00045482,             0.00045482
                    113,                0.50766,                0.36675,                0.85281,                0.82017,                 0.6173,                0.70273,                0.47579,                 1.2034,                0.99497,                 1.2069,             0.00045246,             0.00045246,             0.00045246
                    114,                0.50079,                0.36712,                 0.8509,                0.77114,                0.66415,                0.72998,                0.47498,                  1.193,                0.92197,                 1.1783,             0.00045011,             0.00045011,             0.00045011
                    115,                0.49499,                0.37112,                0.85339,                0.69274,                0.64312,                  0.698,                0.45661,                 1.1689,                 0.9646,                 1.1569,             0.00044775,             0.00044775,             0.00044775
                    116,                0.49444,                0.36605,                0.84977,                0.83091,                0.58453,                 0.7053,                0.45824,                 1.1874,                  1.019,                 1.1801,             0.00044539,             0.00044539,             0.00044539
                    117,                0.50632,                0.37146,                0.85704,                 0.7298,                0.63276,                0.70226,                0.47268,                 1.1752,                0.97892,                 1.1815,             0.00044304,             0.00044304,             0.00044304
                    118,                0.50117,                0.36949,                0.85221,                0.76343,                0.59702,                0.68257,                0.45282,                 1.1904,                 1.0064,                  1.186,             0.00044068,             0.00044068,             0.00044068
                    119,                0.49455,                0.37225,                0.85746,                0.79952,                0.64947,                0.71895,                0.46767,                  1.169,                0.99892,                 1.1826,             0.00043832,             0.00043832,             0.00043832
                    120,                0.48574,                0.36142,                0.84994,                0.80964,                0.61562,                0.68229,                0.43881,                 1.1849,                 1.0128,                 1.1844,             0.00043597,             0.00043597,             0.00043597
                    121,                 0.4901,                0.35569,                0.85092,                0.74575,                0.62204,                0.71983,                0.47495,                 1.1657,                 1.0055,                  1.169,             0.00043361,             0.00043361,             0.00043361
                    122,                0.48182,                0.36566,                0.84825,                0.77048,                0.60787,                0.71466,                0.46604,                 1.1806,                0.92115,                 1.1862,             0.00043126,             0.00043126,             0.00043126
                    123,                0.47741,                0.35462,                0.84798,                0.79409,                0.67128,                0.73018,                0.47084,                 1.1823,                0.94215,                 1.2027,              0.0004289,              0.0004289,              0.0004289
                    124,                0.47308,                0.35321,                0.84866,                0.77654,                0.64693,                0.72576,                0.47541,                 1.2243,                0.99366,                  1.215,             0.00042654,             0.00042654,             0.00042654
                    125,                0.47012,                0.34624,                0.84667,                0.86148,                0.60253,                0.74402,                0.48117,                 1.2044,                0.93272,                 1.2007,             0.00042419,             0.00042419,             0.00042419
                    126,                0.47419,                0.34643,                0.84674,                0.77856,                 0.6144,                0.70648,                0.45661,                 1.1935,                 1.0071,                 1.2023,             0.00042183,             0.00042183,             0.00042183
                    127,                0.48231,                0.34597,                0.84399,                0.70804,                0.65987,                0.68881,                 0.4436,                 1.2155,                 1.0043,                  1.246,             0.00041947,             0.00041947,             0.00041947
                    128,                0.47445,                0.34977,                0.84798,                0.79449,                0.63492,                0.71125,                0.45756,                 1.2293,                0.96874,                 1.2478,             0.00041712,             0.00041712,             0.00041712
                    129,                0.47779,                0.34318,                0.84156,                0.72781,                0.70245,                0.74062,                0.47695,                 1.2185,                0.93844,                 1.2114,             0.00041476,             0.00041476,             0.00041476
                    130,                0.45658,                0.33734,                0.84116,                0.77219,                 0.6616,                0.71726,                0.47866,                 1.2093,                0.95125,                 1.2185,             0.00041241,             0.00041241,             0.00041241
                    131,                0.47547,                0.34709,                0.84741,                0.72037,                0.65369,                0.70066,                0.46211,                 1.2315,                  1.024,                 1.2481,             0.00041005,             0.00041005,             0.00041005
                    132,                0.46939,                0.34209,                0.84113,                0.76627,                0.66768,                0.72055,                0.47616,                   1.22,                0.95618,                 1.2281,             0.00040769,             0.00040769,             0.00040769
                    133,                0.47139,                0.33795,                0.84378,                0.84496,                0.60804,                0.70949,                0.46962,                 1.2093,                0.99567,                 1.2027,             0.00040534,             0.00040534,             0.00040534
                    134,                0.46074,                0.33802,                0.84021,                0.87483,                0.63657,                0.72874,                0.49501,                 1.2075,                 1.0205,                 1.2024,             0.00040298,             0.00040298,             0.00040298
                    135,                0.45733,                0.33665,                 0.8376,                0.79176,                0.68499,                0.73781,                0.48275,                  1.202,                0.94878,                   1.21,             0.00040063,             0.00040063,             0.00040063
                    136,                0.46387,                0.33443,                0.84405,                0.78545,                0.63847,                0.71963,                0.47089,                 1.1865,                0.91833,                 1.1805,             0.00039827,             0.00039827,             0.00039827
                    137,                0.47077,                0.34255,                0.84511,                0.82239,                0.60261,                0.69043,                0.45866,                 1.1977,                0.96093,                 1.1949,             0.00039591,             0.00039591,             0.00039591
                    138,                0.45172,                0.33039,                0.84035,                0.74853,                0.63491,                0.70232,                0.45457,                 1.1939,                0.99719,                 1.2127,             0.00039356,             0.00039356,             0.00039356
                    139,                0.45603,                0.33249,                0.84264,                0.75295,                0.65563,                0.72041,                0.46426,                 1.1843,                 0.9785,                 1.1913,              0.0003912,              0.0003912,              0.0003912
                    140,                 0.4475,                0.32359,                0.83509,                0.87709,                0.57952,                0.69629,                0.46598,                 1.2046,                0.97566,                 1.1959,             0.00038884,             0.00038884,             0.00038884
                    141,                0.44928,                0.32349,                0.83485,                0.81691,                0.64553,                0.71219,                0.46863,                  1.178,                0.96286,                 1.1839,             0.00038649,             0.00038649,             0.00038649
                    142,                0.44508,                0.32636,                0.83806,                0.91968,                0.58734,                0.71745,                0.46201,                 1.1677,                0.96475,                  1.177,             0.00038413,             0.00038413,             0.00038413
                    143,                0.44977,                0.32529,                0.83446,                 0.8197,                0.64635,                0.73628,                0.49188,                 1.1703,                0.95973,                 1.1793,             0.00038178,             0.00038178,             0.00038178
                    144,                0.43706,                0.32524,                0.84012,                0.76088,                0.62909,                0.70189,                0.47719,                 1.2099,                0.99436,                 1.1925,             0.00037942,             0.00037942,             0.00037942
                    145,                0.44462,                0.32909,                0.83729,                0.78451,                0.67532,                0.70487,                0.48113,                 1.1855,                0.93618,                 1.1848,             0.00037706,             0.00037706,             0.00037706
                    146,                0.43753,                0.32094,                0.83446,                0.78341,                0.64537,                 0.7191,                0.46982,                 1.2185,                0.95458,                 1.2027,             0.00037471,             0.00037471,             0.00037471
                    147,                0.43737,                0.31728,                0.83411,                0.71062,                0.63555,                0.71398,                0.47472,                 1.1951,                0.95845,                 1.1948,             0.00037235,             0.00037235,             0.00037235
                    148,                0.43914,                0.32787,                0.83039,                0.72933,                0.62469,                0.68017,                0.45657,                 1.2112,                0.95078,                 1.2096,             0.00036999,             0.00036999,             0.00036999
                    149,                0.45306,                0.33092,                0.84219,                0.77867,                0.59535,                0.69492,                0.46014,                 1.1937,                0.94386,                 1.1999,             0.00036764,             0.00036764,             0.00036764
                    150,                0.43708,                0.31612,                0.83454,                0.80908,                0.61668,                0.72123,                0.48249,                 1.1776,                0.93416,                 1.1748,             0.00036528,             0.00036528,             0.00036528
                    151,                0.43308,                0.31326,                0.83021,                0.77281,                0.64399,                0.71121,                  0.475,                 1.2069,                0.97557,                 1.1888,             0.00036293,             0.00036293,             0.00036293
                    152,                0.44055,                0.32105,                0.83597,                0.72187,                0.68338,                0.72219,                0.47595,                 1.1749,                0.92955,                 1.1582,             0.00036057,             0.00036057,             0.00036057
